id;name_and_first_name;last_event;last_event_date;phone_number;email;event_count;ticket_count;first_event_date;sold_for_the_amount;all_events;mailings;region_residence
1;supposing fantasise frenetically;elf;2024-07-09;wisecrack since up;Sokrat51@mail.ru;32089;4534;2024-07-08;13921.9;since dearly gladly;upon woot arrest;transplantation because down
2;pro panther;oof until dearly;2024-07-09;boo but mustard;Yan.Hoeger@yandex.ru;25365;7547;2024-07-09;12555.18;emphasise wean;exploit starch;blood
3;simplistic centimeter;woot cuckoo heavy;2024-07-08;blackness pfft;Kir.Hermiston40@mail.ru;16624;3542;2024-07-08;17715.21;colorfully yum vein;pish provided;accidentally
4;boohoo trusting;like meh;2024-07-09;acidly imperfect incidentally;Selivan78@hotmail.com;14975;9276;2024-07-09;11522.89;wherever oh;whether;vengeful
5;lull once;fillet what verbally;2024-07-08;yearningly;Maksim42@hotmail.com;16307;20696;2024-07-08;27986.12;emanate;even cheerfully meh;gee hype quartet
6;deck shrill;considerate play;2024-07-08;slimy internal;Oleg85@ya.ru;9921;1874;2024-07-09;25202.68;delightful;video overlay hm;engineer
7;boohoo;ick;2024-07-08;athwart;Apollon_Metz81@yahoo.com;21129;30417;2024-07-09;10070.54;monthly defenseless because;gah vice;before
8;alongside black-and-white;laud notwithstanding;2024-07-08;instead sell elementary;Praskovukya92@gmail.com;20721;7083;2024-07-09;31128.31;zone;uphold;so incidentally eardrum
9;excitedly;soulful;2024-07-09;and quicker;Filipp_Abernathy65@mail.ru;31986;14865;2024-07-08;13449.2;edible vice creaking;on runny jackknife;of lionize
10;nippy who eyelashes;euthanize atop well-worn;2024-07-09;golden onto strange;Budimir_Yost@ya.ru;14506;16166;2024-07-09;14917.63;if mmm;peninsula gymnastics of;detract forenenst
